real,predicho
1246.4,1114.2295077002193
402.34,1110.4446138922592
426.44,1153.2614641971265
1245.24,1165.0891007832643
1143.6,1157.7632784817517
507.63,1110.6247921789472
325.76,698.4954696652686
369.36,716.075887803888
961.42,718.1454411770083
162.78,679.0995576859423
877.61,534.5612155954865
442.05,586.2163360491032
902.89,532.1207008612956
214.16,537.5525563135668
1215.86,722.586707046349
1171.63,700.4687271777723
554.62,571.7643994098036
637.42,534.5728371952126
446.86,592.4690706610783
115.39,553.5377163887756
297.07,1102.9220117762045
345.93,671.8457680877552
1259.55,711.8851532273954
860.36,1090.0895319678475
992.24,718.0155677080102
905.94,689.3848423765
1402.13,1180.333367098122
595.32,1126.8670554440068
559.03,727.1714437653457
153.79,559.0560445630477
1109.05,698.9236142897478
624.01,1152.3643552552933
1078.43,670.7508468016232
1173.29,736.6726435793466
689.41,697.7226407110634
426.62,706.2404503850402
1482.95,1184.354316097469
952.83,559.6438833748845
1184.64,717.6833821427956
1178.95,729.9304279102539
876.65,675.1595963098566
914.82,688.9481582732006
164.15,721.6478091069777
651.76,727.511189527662
969.32,1146.5739758349894
855.8,521.4591576879875
597.84,750.451894128638
466.4,522.2868067682116
663.44,686.3342154154191
422.43,1087.1382068242349
1842.21,1097.831981546363
430.5,520.7005148195276
1182.66,725.8376562359322
610.07,704.9198106345307
1042.13,708.5269161293736
733.26,739.7161713387296
998.6,565.5419443110416
375.71,551.1945052538176
511.42,549.2279815605986
1448.49,1150.455302476416
1262.47,1140.3726187421933
1511.06,1141.0968564909863
678.46,709.2113632383232
621.09,557.207477233288
1166.13,1136.1682334690074
547.75,1151.4747504279876
233.55,690.3891123402123
1060.08,727.7373646149725
131.87,753.1142100605489
593.91,544.2052031127757
1189.09,687.3479452502269
490.14,504.4016642610841
859.84,525.9243113782326
1104.08,1177.1386932627934
574.06,1108.3498806800314
472.75,720.6496938027664
199.69,686.9911645900693
139.26,530.0048373458819
911.57,1132.6778768869926
783.34,681.518273528839
659.13,1153.5871156007447
516.16,690.3384428993193
1085.2,696.1725251228861
1675.88,1141.6127742186463
1023.94,734.1881493910039
1463.42,1195.3516430320465
255.63,687.2980509845634
578.64,1134.2415489630657
183.99,680.7953991761435
609.6,1181.4995943818594
104.37,570.2199354591452
1621.77,1117.6873301684182
172.57,759.7674693627991
930.15,582.9173605954545
374.41,533.296125005383
906.22,705.4233167604439
597.72,1117.8851115440623
303.8,727.7388627743453
1196.31,700.2839256949819
389.78,727.272778755967
151.97,766.1500154892897
1254.0,694.6498065066378
317.83,728.9628195685073
1873.36,1103.5815603879405
360.68,599.9199944751774
330.94,545.3756567168359
533.59,737.4853459589365
1307.09,1151.2038570742022
1862.66,1140.7334273151034
600.53,552.9960017072344
1258.36,772.0194224432768
1290.67,713.0050903366002
1039.06,725.4143950172504
1404.23,1096.0823212966775
841.25,715.1004693921594
942.36,542.6753403467633
181.99,529.1436213843784
130.26,685.6620679313656
846.79,738.8200728398556
518.7,1172.917022766049
577.18,571.2071698335646
263.25,541.7900645676242
379.45,726.8940492499141
248.68,563.2353822530908
1461.9,1138.498545975556
949.77,693.2426538482458
699.94,551.1092231572943
530.47,1145.2831801676396
1686.23,1143.7007079809084
1836.86,1127.5496023363414
1108.28,703.432028443557
775.87,509.8065927144555
1286.88,727.7027400398562
750.49,679.5161794802473
747.64,1105.8733146920038
754.96,1093.2995712430534
562.36,525.88141913593
354.44,582.918407124752
400.19,534.5364459446695
1401.47,1131.6031241715577
101.04,552.7892165216894
1043.7,1193.0475803610677
1026.87,1129.0417856052195
989.6,685.6110315873086
1341.33,1120.4320843056762
863.61,696.2421309114716
